"","beta","pointestimate","lowerHPDI50","higherHPDI50","lowerHPDI70","higherHPDI70","lowerHPDI90","higherHPDI90"
"1",0.5,0.6250784516537,0.513216645435562,0.703500503416647,0.483057834926075,0.776342175546277,0.411403112540478,0.882465250052718
"2",0.611111111111111,0.784643792319689,0.71521557079795,0.916106710256555,0.631163896426378,0.946458712045997,0.54358408343022,1.04331511045402
"3",0.722222222222222,0.908008953029564,0.792081592302162,1.00657424170066,0.724318442067546,1.06101849072884,0.659531607404671,1.19057027935865
"4",0.833333333333333,1.01585121109202,0.903019907521873,1.11729670687866,0.848761260459412,1.17612270377196,0.7696271322962,1.29000057933112
"5",0.944444444444444,0.955099259041772,0.870981158044774,1.08535134565275,0.775701949701152,1.09935737106684,0.685343067788435,1.19900919353231
"6",1.05555555555556,0.971754802304225,0.864830057532619,1.08216984536636,0.775487004763191,1.11729213201671,0.712263556670944,1.25503215317562
"7",1.16666666666667,1.24279721449499,1.11152709233765,1.33385658989972,1.07053914239018,1.41942127014544,0.980148346274296,1.53544467518761
"8",1.27777777777778,1.16618587518452,1.0478997676543,1.26447729755504,1.01335173707624,1.35617553013252,0.893429589325004,1.46069658873069
"9",1.38888888888889,1.46210842301852,1.35607268502637,1.59074065912432,1.26979429928099,1.63429459093276,1.15118405966432,1.74180029823468
"10",1.5,1.26459336383556,1.14226294160273,1.36988298843284,1.06736009439031,1.42874062723863,0.97874336252753,1.54145097679254
