"","alpha","pointestimate","lowerHPDI50","higherHPDI50","lowerHPDI70","higherHPDI70","lowerHPDI90","higherHPDI90"
"1",0.7,0.787094631163272,0.761908569863801,0.813232438192464,0.749925463170301,0.828392216510261,0.724417949228893,0.844932029727181
"2",0.788888888888889,0.921950297217254,0.896823234251133,0.951056974361073,0.881210989536483,0.965473908882939,0.858415259868871,0.996080182698897
"3",0.877777777777778,1.03252883111984,0.99749726619938,1.06038093680094,0.977152846912666,1.07550598669224,0.960497189069574,1.1131560621592
"4",0.966666666666667,0.946929723215166,0.913642357135712,0.970820587680491,0.902466357809805,0.993609991469486,0.875383218019018,1.01725571303928
"5",1.05555555555556,0.86170819866866,0.831208465442277,0.885560401375351,0.81278391624483,0.898055318264906,0.793931237149018,0.928131527494238
"6",1.14444444444444,1.10501287690052,1.07488752941471,1.14505715245812,1.04913792323593,1.15557388114234,1.01941134426574,1.18510350353971
"7",1.23333333333333,0.976035888221517,0.942132450283816,1.00247231180463,0.926387632862137,1.02001682946755,0.902792828099259,1.04786847945938
"8",1.32222222222222,1.15564940784439,1.12346947166771,1.19330105864889,1.09523163554713,1.20526664644991,1.06332370171057,1.23742290190693
"9",1.41111111111111,1.22080635036805,1.17800691240061,1.25367557461406,1.15622623393159,1.27341499903716,1.1249149259294,1.30826849070445
"10",1.5,1.07879197250347,1.04754469501992,1.11821127427354,1.02744514589853,1.13594353095537,0.995386419581808,1.16395245542619
